,date,content,title,score
0,2021-03-04 09:47:49,Muito bom,0103 7671 0523 Zona- 0010 Seção- 0850,5
1,2021-03-28 22:27:38,"Melhor q isso só tendo a opção de tirar o Bolsonaro da presidência, de resto faz tudo",Ótimo,5
2,2021-11-07 01:12:10,Bom,GisaFortunatodaLuz,5
3,2021-11-05 17:25:11,Ele foi hackeado?,Hacker???,5
4,2021-11-05 07:16:10,Muito bom pois é muito rápido.,Avaliação,5
5,2021-11-04 23:28:41,Gosto do aplicativo porque me permite muitos serviços de necessidade.,Facilitador,5
6,2021-11-04 16:36:34,Bom demais,Muito bom,5
7,2021-11-03 01:28:16,Boa,Ivanilda,5
8,2021-11-02 13:54:11,Site simples e objetivo de fácil acesso,Avaliação,5
9,2021-11-02 13:53:11,Ótimo,Carlos Polistamp,5
10,2021-11-02 12:46:24,Parabéns aos desenvolvedores pelos melhoramentos no aplicativo.,Melhorou muito o reconhecimento facial,5
11,2021-11-01 02:22:51,Ok,Ok,5
12,2021-10-29 10:37:17,O governo federal está revolucionando o Brasil com as mais novas tecnologias.,Excelente Brasil!,5
13,2021-10-29 02:14:35,Ótimo,Lpr,5
14,2021-10-28 23:44:27,"Excelente aplicativo, fluido, e necessário a todos os brasileiros! Governo Federal mais uma vez nota 1000!",Governo Digital,5
15,2021-10-27 20:27:16,Excelente seu atendimento.,Bom atendimento,5
16,2021-10-27 15:45:56,Jr,Lelio Andrade,5
17,2021-10-27 15:20:01,Bom,Jr Bhering,5
18,2021-10-27 14:22:57,Excelente Ferramenta,Muito bom,5
19,2021-10-26 16:53:58,Muito bom,Muito bom,5
20,2021-10-26 10:16:53,Esperemos q vá,Camartelli,5
21,2021-10-25 17:16:53,Realizei a prova de vida em menos de 5 minutos! Parabéns!,Muito Prático,5
22,2021-10-25 14:17:53,Muito bom,Muito bom,5
23,2021-10-23 23:26:09,Nota 10.,Incrível! Tecnologia a serviço dos estudantes!,5
24,2021-10-23 20:24:00,Otimo,Sueli,5
25,2021-10-23 00:47:56,Muito bom,Excelente,5
26,2021-10-22 14:50:55,Muito bom,Mabi,5
27,2021-10-21 22:17:49,👏🏼,Bom,5
28,2021-10-21 18:37:37,Amei o app,Precioso,5
29,2021-10-20 23:26:21,Lima,Cleylane,5
30,2021-10-20 15:59:41,Perfeito,Top,5
31,2021-10-20 05:41:38,App super bom,Avaliação,5
32,2021-10-20 01:45:15,Aplicativo maravilhoso,Show demais,5
33,2021-10-19 22:55:09,"Maravilhoso. Por favor façam ele ser o login único do cidadão. Cria um mecanismo em que ele forneça um id único para terceiros que não seja nosso cpf. Assim poderemos fazer cadastros sem compartilhar nossos dados pessoais (cpf, telefone, e-mail e endereço).",Melhor coisa da década depois do Pix,5
34,2021-10-18 19:59:50,Bom,Diminoru,5
35,2021-10-18 18:13:23,Maravilhoso,Maravilhoso,5
36,2021-10-18 16:53:50,Top,Abençoado011,5
37,2021-10-18 15:07:31,Ótimo,Emiliolopes,5
38,2021-10-17 12:23:05,Muito bom!,Vânia3000,5
39,2021-10-16 18:18:54,Eu,Baptista,5
40,2021-10-15 12:54:19,Muito bom!,Excelente,5
41,2021-10-13 22:51:36,Muito bom,Excelente,5
42,2021-10-13 01:31:47,Só falta ter suporte a Carteira/Wallet.,Apple Wallet,5
43,2021-10-12 00:52:33,"Não consigo acessar o APP, fica mandando aguardar e não entra.
Podiam melhorar o APP",Acesso,5
44,2021-10-11 15:51:36,Muito bom,Show,5
45,2021-10-11 15:05:57,Bom,Avaliação,5
46,2021-10-08 18:16:31,Ok,Mariola,5
47,2021-10-07 20:35:49,Tudo prático,Carla,5
48,2021-10-07 15:55:26,Facilidade no dia a dia do contribuinte parabéns,Excelente,5
49,2021-10-07 13:19:15,Muito bom obrigada,Site gov seguro,5
50,2021-10-07 12:23:20,Estou iniciando,App meu gov,5
51,2021-10-06 20:41:01,Ótimo e pratico,Av,5
52,2021-10-06 18:19:36,Muito pratico,Ótimo,5
53,2021-10-06 14:22:52,Tudo funcionando muito bem.,Muito bom!,5
54,2021-10-05 15:17:50,Muito atualizado. Gostei.,GOV.BR,5
55,2021-10-05 13:48:15,Muito bom; excelente.,Ótimo,5
56,2021-10-04 23:14:51,É muito prático o  aplicativo!,Excelente,5
57,2021-10-04 13:18:17,Milton,Carteira,5
58,2021-10-04 12:35:11,"Parabéns, muito bom",APP,5
59,2021-10-04 01:24:21,Este meio de acesso está fantástico,Viva SUS,5
60,2021-10-02 15:19:34,"A criação desta ferramenta é importante no atual contexto das necessidades de aspectos sociais, viabilizando, de forma rápida, o reconhecimento e atendimento aos funcionários públicos!",Modernidade,5
61,2021-10-02 04:44:39,"Muito legal acompanhar, tem as vacinas, as notícias, é muito bom",Gostei,5
62,2021-10-02 00:49:46,Bom,CNH,5
63,2021-10-01 18:04:00,Bruna,Bruna,5
64,2021-10-01 17:42:29,Muito bom,Luizgeraldo,5
65,2021-10-01 00:23:28,Muito bom,Pratico,5
66,2021-09-30 23:53:43,Ótimo,Lino,5
67,2021-09-30 17:17:00,Digito o cpf e clico pra abrir mas não abre!!,Não Abre,5
68,2021-09-30 15:46:47,Não estou conseguindo efetuar a validação biométrica por foto. Já entrei em contato com o TRE e o mesmo disse para contactá-los.,Não consigo efetuar a validação biométrica,5
69,2021-09-29 11:54:21,Wmsouza,WMSouza,5
70,2021-09-29 10:59:19,"Deve ser pegadinha.
Pede os seus dados bancários, inclusive a senha, antes da identificação facial, que permitiria entrar em área segura.
A identificação facial não funciona (em dois anos já tentei mais de 20 vezes).
Mas seus dados bancários já foram coletados!",Fake,5
71,2021-09-28 19:52:37,Excelente!,APP GOV BR,5
72,2021-09-28 16:30:03,Dib,Cléo,5
73,2021-09-27 13:25:28,Moderno e seguro,Site gov,5
74,2021-09-27 12:49:14,Serviço com condições excelentes de segurança.,Clayton LABES,5
75,2021-09-27 00:22:53,Ótimo,Ótimo,5
76,2021-09-26 13:03:52,"Para aumentar a segurança e a gama de serviços ofertados, habilitei a autenticação em duas etapas. O INFERNO COMEÇOU NESSE MOMENTO. Meu antigo celular deu problema, e agora eu não consigo logar no aplicativo por nada! Entrei em contato com o suporte, que recomendou “recuperar a senha”, através da reconhecimento facial (obs: eu tenho a senha. O problema está na vinculação de um celular que “morreu”). Ocorre que estou tentando fazer isso há um mês e o sistema sequer abre o reconhecimento. Apresenta mensagem de erro. Tentam resolver um problema através de uma gambiarra.",Fujam da verificação em duas etapas!,5
77,2021-09-26 00:16:02,Excelente,Ótimo,5
78,2021-09-25 00:32:33,Estão de parabéns! Isso nos deixa cada vez mais feliz e orgulhoso de ser brasileiro. Precisamos mesmo desburocratizar a máquina pública para crescermos cada vez mais.,Excelente,5
79,2021-09-24 21:15:54,Perfeição podermos ter acesso na palma da mão,Documentos,5
80,2021-09-24 16:11:24,Meio complicadinho…,Gov.br,5
81,2021-09-24 13:51:15,Bom,Foto perfil,5
82,2021-09-24 00:56:39,Excelente sistema,CHT,5
83,2021-09-23 22:27:21,Fácil de usar !!!!,Excelente!!!!,5
84,2021-09-23 20:23:43,Excelente,Excelente,5
85,2021-09-23 11:38:43,Muito eficiente,Jessica Leles,5
86,2021-09-23 00:19:52,"Péssimo!!!! Não funciona, como tudo feito pelo pelo brilhante funcionalismo do nosso país!!! Lixo seria um grande elogio!!!",Lixo seria elogio!!!!,5
87,2021-09-22 20:15:23,Excelente! Estão de parabéns!,Sr,5
88,2021-09-22 00:25:12,Husadel,Sr,5
89,2021-09-21 19:01:49,Muito útil para facilitar as nossas informações pessoais.,Gostei,5
90,2021-09-21 18:30:59,"Mto pratico e útil, facilita a vida!",Satisfeita,5
91,2021-09-20 15:34:21,"Depois de quase oito meses tentando, finalmente, consegui o acesso ao portal do MICRO EMPREENDEDOR INDIVIDUAL (MEI). Consegui trocar a senha e acessar. Muito obrigada Governo Federal! Quando vocês querem, vocês fazem. Vou conseguir pagar meus débitos e continuar minha jornada.","Quando vocês querem, vocês fazem",5
92,2021-09-20 12:32:40,Ótimo aplicativo,Danbiasi,5
93,2021-09-17 16:03:09,Tudo certo,Ok,5
94,2021-09-17 15:17:14,"Já havia desistido de usar o aplicativo mesmo sendo ele o base para diversos outros aplicativos do Governo. Nova versão finalmente conseguiu ser confiável, rápida e de fácil uso. Redefinir a senha, algo quase impossível anteriormente, se tornou intuitiva. Testei acesso aos demais app do Governo, como o ConectaSuUS, e finalmente conseguir voltar a usar mostrando a interoperabilidade do sistema. Parabéns finalmente!",Enfim Funcional,5
95,2021-09-17 05:58:14,"Funciona bem. Não tive nenhum problema para me cadastrar. 
Gostaria de sugerir a possibilidade de exportar os documentos para o aplicativo Wallet assim como o ConecteSUS faz com a carteirinha do SUS",App bem legal,5
96,2021-09-17 00:44:15,"O app ficou muito bom, só não estou conseguindo acessar meus documentos por enquanto",Funcionou muito bem!!,5
97,2021-09-16 22:49:28,"A criação da conta .gov foi uma iniciativa inteligente do governo com ela se faz muitos acessos que antes só poderia ser feito com certificado digital. Como assinatura de documentos digitais em órgão como juntas comerciais. Outro ponto forte e o acesso de documentos digitais como CNH, CTPS-digital entre outros. Também é possível acessar o e-cac que é o sistema da receita federal que se verifica a regularidade do CPF e acesso as DIRPF entre outros serviços de irregularidades com a receita federal.
Eu estou muito feliz com a criação desse tipo de acesso. 👏🏼👏🏼👏🏼👏🏼",Ótima iniciativa do governo,5
98,2021-09-16 12:56:18,Muito bom o site,Avaliação,5
99,2021-09-15 03:46:24,Muito intuitivo,Bom,5
100,2021-09-14 13:45:07,Tranquilo,"Rápido e intuitivo, muito bom",5
101,2021-09-11 00:55:06,"Muitos acabam colocando a data errada da cnh, a data correta fica na parte de trás da CNH",Atenção a data de emissão da CNH,5
102,2021-09-08 19:02:41,Boa,007434342003,5
103,2021-09-07 10:49:22,Ok,007945051910,5
104,2021-09-05 21:21:07,"Muito útil, pratico e indispensável.",Muito bom,5
105,2021-09-03 17:40:47,Experiência nova e interessante,Bom,5
106,2021-09-01 21:02:51,"Consegui concluir o cadastro sem problemas. A biometria (facial) requer um pouco de paciência, mas se vc seguir as orientações do áudio como posto no aplicativo, dar certo rapidinho.",Muito bom 👏👏,5
107,2021-09-01 14:30:17,Bom,063408980281,5
108,2021-09-01 12:21:03,Top,Gostei muito,5
109,2021-08-30 13:34:00,Simples de usar,Prático,5
110,2021-08-29 17:43:21,Bem dinâmico. Gostei.,Facial,5
111,2021-08-29 12:51:59,Ótimo,Sabedoria,5
112,2021-08-28 11:35:48,Muito bom!,Governo do povo e para o povo.,5
113,2021-08-26 19:12:09,Super seguro,Muito bom,5
114,2021-08-23 14:26:34,Ótimo fácil de usar,Ótimo!!!! Funciona fácil,5
115,2021-08-22 22:15:46,Muito bom,Sipiressss,5
116,2021-08-19 20:09:39,Gouveia,Nat,5
117,2021-08-18 13:15:18,Ótimo App que tem todas as informações trabalhistas e pessoais.,Ótimo App,5
118,2021-08-17 18:01:16,Ótimo!!,Muito útil!!,5
119,2021-08-17 14:11:11,Muito bom,Bom,5
120,2021-08-14 22:43:30,"O app pede a data de emissão da minha CNH, eu que nunca tirei uma na vida. Doideira.",Validação facial,5
121,2021-08-14 22:23:45,Bom,086734210701,5
122,2021-08-12 01:08:12,Gostei de mais,A,5
123,2021-08-09 22:27:55,Muito bom aplicativo,Excelente,5
124,2021-08-09 21:57:47,Muito bom,013700760264,5
125,2021-08-09 17:57:28,Ótimo,Ritassis,5
126,2021-08-09 14:20:07,Excelente,App,5
127,2021-08-06 17:21:28,Muito bom,Bom,5
128,2021-08-03 15:38:22,Muito bom!,Excelente,5
129,2021-08-03 12:46:04,Muito bom,Excelente,5
130,2021-07-30 19:09:46,Celso,Celso Muller Bandeira,5
131,2021-07-30 17:22:50,Super rápido,Legal,5
132,2021-07-30 13:01:34,Foi meio complicado mas pedi ajuda e consegui,Avaliação,5
133,2021-07-29 14:33:55,Ótimo,Ótimo,5
134,2021-07-29 13:53:13,Excrlentr,Meu gov,5
135,2021-07-29 13:28:04,Excelente,Meu Gov.,5
136,2021-07-28 18:16:07,Segurança para o Cidadão.,Carteira Digital,5
137,2021-07-26 21:25:04,"Legal,rápido e engraçado!!",Legal,5
138,2021-07-26 15:45:22,Ótima,Ot,5
139,2021-07-22 12:18:05,A facilidade proporcionada pelos aplicativos é ótima!!!!,Excepcional,5
140,2021-07-20 18:29:05,"Simplesmente uma vergonha, uma empresa de desenvolvimento que se presta a desenvolver algo inútil e a Apple Store dentro do seu tão rigoroso protocolo de triagem aprovar algo que simplesmente não funciona. 
Pensem nas pessoas que precisam dessa opção e não conseguem resolver suas vidas, tendo seus benefícios bloqueados por pura incompetência de quem se propõe a criar soluções práticas pros necessitados.",Biometria facial,5
141,2021-07-16 11:01:35,"Revisão: 16/07/21

Excellent! De fato funcionou, não encontrei qualquer problema com as funcionalidades do app após essa orientação, gostei muito do app.
Muito obrigado.

Mensagem inicial: 12/07/21

Só fiquei frustrado de não poder ver a prévia da minha foto e não haver a opção de trocá-la depois.",Bom app,5
142,2021-07-15 20:06:15,"Excelente a funcionalidade do app, prático, objetivo… de fácil uso.",Nota Dez,5
143,2021-07-13 22:01:48,"Fácil de entender, parabéns ao governo e ao ministério",Elogio,5
144,2021-07-12 17:25:36,"Não funciona. Estou a várias horas tentando e não consigo. Preciso fazer prova de vida. Estou viva. Moro em Lisboa, Portugal. Tenho um endereço no Rio de Janeiro, mas possuo visto de residência do Governo Português. 
Não sei mais o que fazer. 

Endereço no Rio: 
Rua Araújo Leitão 176 ap 603, Engenho Novo. Rio de Janeiro. 

Endereço em Lisboa:
Rua Francisco Baía, 18 3C
1500-279 Lisboa-PT",Prova de Vida pela Internet,5
145,2021-07-09 11:58:59,Excelente aplicativo,Muito bom!,5
146,2021-07-07 16:37:20,É importante ser brasileiro e ter acessos,Brasileiro,5
147,2021-07-07 11:51:42,Muito bom e rápido! Minha mãe pode fazer a prova de vida nele! Evitando assim sair de casa e enfrentar filas enormes!,Excelente!!!,5
