,date,content,score,version,thumbs
0,2021-10-11 11:27:56,"Não estava conseguindo iniciar o reconhecimento facial com o óculos de grau, foi preciso tirá-lo para conseguir.",5,3.0.0,0
1,2021-10-11 10:31:37,aplicativo top demais vai servi pro meus trabalhos .,5,3.0.0,0
2,2021-10-11 10:17:30,muito bom aplicativo,5,3.0.0,0
3,2021-10-11 10:14:36,bem seguro parabéns,5,3.0.0,0
4,2021-10-11 09:57:14,é ótimo o app gov.br,5,3.0.0,0
6,2021-10-11 09:51:14,Muito bom,5,3.0.0,0
7,2021-10-11 09:45:52,otimo,5,3.0.0,0
8,2021-10-11 09:37:24,muito bom,5,3.0.0,0
9,2021-10-11 09:36:32,Bom,5,3.0.0,0
