,date,content,title,score
43,2021-04-10 14:58:13,"Por enquanto, muito complexo",Complexidade,4
44,2021-04-09 20:45:55,Ótimo,Avaliação,4
45,2021-03-28 13:38:57,O tempo expira muitas vezes antes de chegar ao fim.,Pouco tempo para visualização,4
46,2021-03-25 10:16:01,"Bom mas podia concentrar outros documentos como RG, cartão SUS, carteira de trabalho, título de eleitor...",Podia ser mais amplo,4
47,2021-03-24 21:00:32,"Foi difícil para dar certo ,espero que agora fique mais prático",Adri,4
48,2021-03-23 16:10:55,"Caros desenvolvedores, incluam, por gentileza, a opção de mudar o envio de código, na avaliação em duas etapas, para outro meio (celular, e-mail) na tela de login. Caso haja alguma dificuldade de acesso a um dos meios cadastrados pelo usuário. 
Estou impossibilitado de fazer login, porque o sistema solicita um código enviado a um celular que, pasmem, não foi cadastrado previamente. Para quem só cadastrou e-mail, como eu, não há opção de envio na tela de login ( atualmente só há opção de mudança no perfil, após o login). Agradeço a atenção.",Avaliação em duas etapas com problemas,4
49,2021-03-14 20:35:01,O processo de validação facial ainda é muito difícil de ser feito.,Motivo da classificação.,4
50,2021-03-11 13:14:53,nunca fiz cadastro no app mas diz que já possuo cadastro e com um email que eu desconheço! Não consigo acessar e nem criar nada com meu cpf!!!,Preciso de ajuda,4
51,2021-03-07 17:42:12,"A biometria facial simplesmente não funciona, mesmo após diversas tentativas e raivas! Arrumem esse app, pois está um lixo!",Horrível,4
52,2021-02-24 12:10:04,Muito bom!,Meugov,4
53,2021-02-23 18:12:35,Muito bom para quem está em quarentena,Prova de vida,4
54,2021-02-16 19:45:05,"Pessoal, coloca uma senha pra acessar o app. Nem que seja um pin cadastrado no app mas de preferência o leitor biometrico Touch ID ou Face ID. É bem simples que eu sei 😉",Falta segurança,4
55,2021-02-09 11:39:02,Funciona muito bem! Gostaria de ver mais opções como a CTPS e o Título de Eleitor integrado assim como a opção de exportar a CNH direto de dentro do app.,Muito bom o app,4
56,2021-02-08 19:55:12,"Devs desse app, parabéns pelo trabalho até agora. Continuem assim, falta muita coisa ainda! Por favor, vamos digitalizar e modernizar tudo relacionado a governo e burocracias nesse Brasil! 🙏🏼🙏🏼🙏🏼

Minha esperança está em vocês! Hahah",Finalmente um serviço minimamente bom,4
57,2021-02-06 00:33:45,"Bom , espero agora com gov digitalizar os documentos dos veículos e minha habilitação.",Fácil de usar seguindo as dicas,4
58,2021-02-04 21:30:49,Demorou muito.,Autenticação facial,4
59,2021-02-03 18:48:31,Faz como???? Não dá opção de nada,Prova de vida,4
60,2021-02-03 12:37:10,"Como nunca tinha usado o aplicativo consegui validar na segunda vez . O Aplicativo nenhum momento seria que houve travamentos no seu uso , mesmo em uma rede 3g  foi tranquilo .",Funcionou na segunda vez,4
61,2021-01-31 11:48:20,Tive dificuldade para fazer a foto.,Validação Facial,4
62,2021-01-29 17:57:34,"É bem útil, funciona bem. Mas falta a opção de exportar o CPF para a Wallet.",Falta a opção de exportar para a Wallet,4
63,2021-01-26 13:56:55,Muito complicado para nós,Idoso,4
64,2021-01-23 15:14:51,O app precisa ampliar o tempo,Pouco tempo,4
65,2021-01-21 13:35:57,Muito difícil de tirar. Foram muitas tentativas,Foto,4
66,2021-01-20 18:53:46,Muito rápido,Boa,4
